scenario,scenario_label,n_replicates,cumulative_output_mean,cumulative_output_sd,mean_period_profit_before_subsidy_mean,mean_period_profit_before_subsidy_sd,mean_period_profit_after_subsidy_mean,mean_period_profit_after_subsidy_sd,mean_period_subsidy_mean,mean_period_subsidy_sd,final_avg_environment_mean,final_avg_environment_sd,final_avg_quality_mean,final_avg_quality_sd,final_share_I_mean,final_share_O_mean,final_share_S_mean,share_above_market_baseline_before_subsidy_mean,share_above_market_baseline_after_subsidy_mean,mean_clustering_IS_mean
market,Market,5,3615.6304347216706,844.763976017656,1.179218191299589,0.4942766777523715,1.179218191299589,0.4942766777523715,0.0,0.0,0.02947499999999999,0.2192005281984968,0.45483836898587837,0.023986353847996567,0.5165,0.067,0.4165,1.0,1.0,0.864447194792388
policy_conversion,Policy: conversion subsidy,5,4206.268192926149,1079.0329997342237,1.6189170869048695,0.6770690256814385,2.0953330869048696,0.7565875512543324,0.47641600000000006,0.09607773445381494,0.358445,0.2184947477915659,0.5683666689858785,0.0158588815171934,0.3075,0.6475,0.045,0.8,1.0,0.961254462125764
policy_results,Policy: results subsidy,5,3628.0170292372845,847.048224907007,1.2187176410878147,0.48375977119078944,1.4734419077544814,0.37931419157678653,0.2547242666666667,0.13289760985085894,0.034850000000000006,0.22248262010772882,0.45955516898587845,0.025167238793400087,0.5155000000000001,0.0645,0.42000000000000004,0.9800000000000001,1.0,0.8700064265161978
