scenario,scenario_label,n_replicates,cumulative_output_mean,cumulative_output_sd,mean_period_profit_before_subsidy_mean,mean_period_profit_before_subsidy_sd,mean_period_profit_after_subsidy_mean,mean_period_profit_after_subsidy_sd,mean_period_subsidy_mean,mean_period_subsidy_sd,final_avg_environment_mean,final_avg_environment_sd,final_avg_quality_mean,final_avg_quality_sd,final_share_I_mean,final_share_O_mean,final_share_S_mean,share_above_market_baseline_before_subsidy_mean,share_above_market_baseline_after_subsidy_mean,mean_clustering_IS_mean
market,Market,5,3615.6304347216706,844.763976017656,1.179218191299589,0.4942766777523715,1.179218191299589,0.4942766777523715,0.0,0.0,0.02947499999999999,0.2192005281984968,0.45483836898587837,0.023986353847996567,0.5165,0.067,0.4165,1.0,1.0,0.864447194792388
policy_practice,Policy: practice subsidy,5,3578.328999978359,903.8190959420937,1.4153802142448266,0.47698173743474426,1.800868214244827,0.3897541403572991,0.38548800000000016,0.0939826828493184,0.12379500000000002,0.21965337067752908,0.5052310689858784,0.02004363853803571,0.549,0.095,0.356,0.7866666666666667,1.0,0.8714377796071225
productivist,Productivist,5,4153.976095567808,1032.6768074433842,-1.7470499566466402,1.7062136512846753,-1.7470499566466402,1.7062136512846753,0.0,0.0,-1.0,0.0,0.16501001259834705,0.06972342729661463,1.0,0.0,0.0,0.013333333333333332,0.013333333333333332,1.0
