scenario,scenario_label,replicate,seed,farmer_id,n_plots,eta_I,eta_O,total_profit_before_subsidy,mean_profit_before_subsidy,total_profit_after_subsidy,mean_profit_after_subsidy,total_subsidy,mean_output,market_mean_profit_before_subsidy,market_mean_profit_after_subsidy,above_market_baseline_before_subsidy,above_market_baseline_after_subsidy
productivist,Productivist,1,67,0,30,-0.0057344525756448175,0.0002881630209599294,-240.17929366787894,-9.607171746715158,-240.17929366787894,-9.607171746715158,0.0,7.776635740812398,0.7473307059495775,0.7473307059495775,False,False
productivist,Productivist,1,67,1,6,-0.0011224464473409779,-0.005641659092067876,-22.15634753345502,-0.8862539013382008,-22.15634753345502,-0.8862539013382008,0.0,2.405609135982203,0.14208951062670985,0.14208951062670985,False,False
productivist,Productivist,1,67,2,2,0.01435488360321421,0.012627604062684646,-7.968270661267932,-0.3187308264507173,-7.968270661267932,-0.3187308264507173,0.0,0.807983152604569,0.04698317340415688,0.04698317340415688,False,False
productivist,Productivist,1,67,3,17,0.0051464124196767425,0.009750692718384036,-45.40242776295929,-1.8160971105183716,-45.40242776295929,-1.8160971105183716,0.0,7.457113520492907,0.3237076634307571,0.3237076634307571,False,False
productivist,Productivist,1,67,4,74,-0.01106496159264248,0.01406257190522598,216.8085736335642,8.672342945342569,216.8085736335642,8.672342945342569,0.0,44.76282862998962,11.230485770316166,11.230485770316166,False,False
productivist,Productivist,1,67,5,18,-0.00632899239598508,-0.0031235957664033157,16.08264919303423,0.6433059677213692,16.08264919303423,0.6433059677213692,0.0,9.78350728367491,1.686692482770141,1.686692482770141,False,False
productivist,Productivist,1,67,6,7,0.012292223471256416,-0.019560869142214457,-17.771999588434465,-0.7108799835373786,-17.771999588434465,-0.7108799835373786,0.0,3.1401324646091324,0.6164814228910092,0.6164814228910092,False,False
productivist,Productivist,1,67,7,2,-0.015956107323728617,-0.01583412013354283,-3.136151256131231,-0.12544605024524924,-3.136151256131231,-0.12544605024524924,0.0,0.9141133880858348,0.05489564235962058,0.05489564235962058,False,False
productivist,Productivist,1,67,8,24,0.017898160084873688,-0.0004471941025596935,-38.49813001245608,-1.539925200498243,-38.49813001245608,-1.539925200498243,0.0,11.591704513230981,1.4087504755726366,1.4087504755726366,False,False
productivist,Productivist,1,67,9,6,0.007633549412831744,-0.007497546146555413,11.405369050150112,0.45621476200600447,11.405369050150112,0.45621476200600447,0.0,3.5216128467863963,0.6562730448055666,0.6562730448055666,False,False
productivist,Productivist,1,67,10,11,-0.017637391398452832,0.004790439554914738,-25.02889797745651,-1.0011559190982604,-25.02889797745651,-1.0011559190982604,0.0,4.7638662204150055,0.24124447576556438,0.24124447576556438,False,False
productivist,Productivist,1,67,11,24,0.008972138525722545,-0.003536201034652357,-43.24159698444429,-1.7296638793777717,-43.24159698444429,-1.7296638793777717,0.0,11.268533956191652,0.98416002005929,0.98416002005929,False,False
productivist,Productivist,1,67,12,7,0.006814102732683151,-0.012302599241391692,-1.7149221859313224,-0.0685968874372529,-1.7149221859313224,-0.0685968874372529,0.0,3.6232814653532226,0.39482013993139764,0.39482013993139764,False,False
productivist,Productivist,1,67,13,29,0.0065544295339287,0.012056843995164242,14.529295350797177,0.5811718140318871,14.529295350797177,0.5811718140318871,0.0,15.697000216412654,2.307438282135664,2.307438282135664,False,False
productivist,Productivist,1,67,14,12,-0.008423010614878598,-0.007880010476218662,-105.72660082899466,-4.229064033159786,-105.72660082899466,-4.229064033159786,0.0,2.775887871569336,0.3093553827568751,0.3093553827568751,False,False
productivist,Productivist,1,67,15,8,-0.002723788325969262,-0.026851684184958386,-58.138877512955794,-2.3255551005182316,-58.138877512955794,-2.3255551005182316,0.0,2.2821236742992106,0.4534790348276645,0.4534790348276645,False,False
productivist,Productivist,1,67,16,2,0.0022803077171049996,-0.005882012090926229,5.041479204490168,0.20165916817960672,5.041479204490168,0.20165916817960672,0.0,1.2049758268910535,0.2524600592721048,0.2524600592721048,False,False
productivist,Productivist,1,67,17,18,-0.0024934434483933183,-0.004567190752296223,196.06157404324776,7.84246296172991,196.06157404324776,7.84246296172991,0.0,15.598064783727066,7.850847680352953,7.850847680352953,False,False
productivist,Productivist,1,67,18,8,-0.018779663801060845,-0.013854535046222426,-24.807512149118086,-0.9923004859647234,-24.807512149118086,-0.9923004859647234,0.0,3.245969762901432,0.13285792922632875,0.13285792922632875,False,False
productivist,Productivist,1,67,19,1,-0.010988159842027105,0.014289685156207335,6.849416017922835,0.2739766407169134,6.849416017922835,0.2739766407169134,0.0,0.7303907846999088,0.2742255750882369,0.2742255750882369,False,False
productivist,Productivist,1,67,20,2,-0.0013912551178430013,-0.013907464572834866,29.01883097194112,1.160753238877645,29.01883097194112,1.160753238877645,0.0,1.966376582913567,1.160753238877645,1.160753238877645,True,True
productivist,Productivist,1,67,21,18,0.004107241026156754,-0.014529289754841303,164.41482289607046,6.576592915842818,164.41482289607046,6.576592915842818,0.0,14.680418603450914,6.691386845260582,6.691386845260582,False,False
productivist,Productivist,1,67,22,5,-0.0023199206545521317,-0.006844416700789368,-72.2322771397176,-2.8892910855887037,-72.2322771397176,-2.8892910855887037,0.0,0.27928744891082835,0.010172885063923642,0.010172885063923642,False,False
productivist,Productivist,1,67,23,1,-0.015303817356763075,-0.026614234025475046,-1.121461010086357,-0.044858440403454276,-1.121461010086357,-0.044858440403454276,0.0,0.4718701937918261,0.03786989672179152,0.03786989672179152,False,False
productivist,Productivist,1,67,24,6,-0.005094356017754366,-0.000218971098203351,-19.563685501201917,-0.7825474200480766,-19.563685501201917,-0.7825474200480766,0.0,2.469509155076318,0.054053194009147126,0.054053194009147126,False,False
productivist,Productivist,1,67,25,45,0.006913542079978172,-0.016560547645836116,-169.75431013089684,-6.790172405235873,-169.75431013089684,-6.790172405235873,0.0,18.21674959069051,2.7748958560219217,2.7748958560219217,False,False
productivist,Productivist,1,67,26,9,-0.004906403526783169,-0.00018929054106320834,-24.948303292495456,-0.9979321316998182,-24.948303292495456,-0.9979321316998182,0.0,3.8463281892473065,0.19917937545556044,0.19917937545556044,False,False
productivist,Productivist,1,67,27,2,-0.0029137516772682263,-0.010912553418737947,-2.1741952816501238,-0.08696781126600495,-2.1741952816501238,-0.08696781126600495,0.0,0.9657637483035666,0.07395095374847731,0.07395095374847731,False,False
productivist,Productivist,1,67,28,1,0.009902808656665782,0.005728005511728914,6.369167163116306,0.25476668652465223,6.369167163116306,0.25476668652465223,0.0,0.7317355961450543,0.2557840190636662,0.2557840190636662,False,False
productivist,Productivist,1,67,29,5,0.013723831638091794,0.014029683073912499,-7.47654751659524,-0.2990619006638096,-7.47654751659524,-0.2990619006638096,0.0,2.415645806021319,0.20897801934276225,0.20897801934276225,False,False
market,Market,1,67,0,30,-0.0057344525756448175,0.0002881630209599294,18.683267648739438,0.7473307059495775,18.683267648739438,0.7473307059495775,0.0,6.308634377129147,0.7473307059495775,0.7473307059495775,True,True
market,Market,1,67,1,6,-0.0011224464473409779,-0.005641659092067876,3.5522377656677464,0.14208951062670985,3.5522377656677464,0.14208951062670985,0.0,2.0598886911349097,0.14208951062670985,0.14208951062670985,True,True
market,Market,1,67,2,2,0.01435488360321421,0.012627604062684646,1.174579335103922,0.04698317340415688,1.174579335103922,0.04698317340415688,0.0,0.6541078707071083,0.04698317340415688,0.04698317340415688,True,True
market,Market,1,67,3,17,0.0051464124196767425,0.009750692718384036,8.092691585768927,0.3237076634307571,8.092691585768927,0.3237076634307571,0.0,4.829267503784271,0.3237076634307571,0.3237076634307571,True,True
market,Market,1,67,4,74,-0.01106496159264248,0.01406257190522598,280.76214425790414,11.230485770316166,280.76214425790414,11.230485770316166,0.0,37.3428813609251,11.230485770316166,11.230485770316166,True,True
market,Market,1,67,5,18,-0.00632899239598508,-0.0031235957664033157,42.167312069253526,1.686692482770141,42.167312069253526,1.686692482770141,0.0,7.528595659214658,1.686692482770141,1.686692482770141,True,True
market,Market,1,67,6,7,0.012292223471256416,-0.019560869142214457,15.412035572275228,0.6164814228910092,15.412035572275228,0.6164814228910092,0.0,3.4917215381011157,0.6164814228910092,0.6164814228910092,True,True
market,Market,1,67,7,2,-0.015956107323728617,-0.01583412013354283,1.3723910589905144,0.05489564235962058,1.3723910589905144,0.05489564235962058,0.0,0.4902834143317915,0.05489564235962058,0.05489564235962058,True,True
market,Market,1,67,8,24,0.017898160084873688,-0.0004471941025596935,35.218761889315914,1.4087504755726366,35.218761889315914,1.4087504755726366,0.0,10.530833081131878,1.4087504755726366,1.4087504755726366,True,True
market,Market,1,67,9,6,0.007633549412831744,-0.007497546146555413,16.406826120139165,0.6562730448055666,16.406826120139165,0.6562730448055666,0.0,2.74647239223732,0.6562730448055666,0.6562730448055666,True,True
market,Market,1,67,10,11,-0.017637391398452832,0.004790439554914738,6.0311118941391095,0.24124447576556438,6.0311118941391095,0.24124447576556438,0.0,3.0057444636721327,0.24124447576556438,0.24124447576556438,True,True
market,Market,1,67,11,24,0.008972138525722545,-0.003536201034652357,24.60400050148225,0.98416002005929,24.60400050148225,0.98416002005929,0.0,9.20246775652048,0.98416002005929,0.98416002005929,True,True
market,Market,1,67,12,7,0.006814102732683151,-0.012302599241391692,9.870503498284942,0.39482013993139764,9.870503498284942,0.39482013993139764,0.0,2.552839137207184,0.39482013993139764,0.39482013993139764,True,True
market,Market,1,67,13,29,0.0065544295339287,0.012056843995164242,57.6859570533916,2.307438282135664,57.6859570533916,2.307438282135664,0.0,11.216295444016767,2.307438282135664,2.307438282135664,True,True
market,Market,1,67,14,12,-0.008423010614878598,-0.007880010476218662,7.7338845689218765,0.3093553827568751,7.7338845689218765,0.3093553827568751,0.0,2.3005306722378887,0.3093553827568751,0.3093553827568751,True,True
market,Market,1,67,15,8,-0.002723788325969262,-0.026851684184958386,11.336975870691612,0.4534790348276645,11.336975870691612,0.4534790348276645,0.0,2.5482490962580155,0.4534790348276645,0.4534790348276645,True,True
market,Market,1,67,16,2,0.0022803077171049996,-0.005882012090926229,6.31150148180262,0.2524600592721048,6.31150148180262,0.2524600592721048,0.0,0.9635747805049496,0.2524600592721048,0.2524600592721048,True,True
market,Market,1,67,17,18,-0.0024934434483933183,-0.004567190752296223,196.27119200882385,7.850847680352953,196.27119200882385,7.850847680352953,0.0,15.459731089957941,7.850847680352953,7.850847680352953,True,True
market,Market,1,67,18,8,-0.018779663801060845,-0.013854535046222426,3.321448230658219,0.13285792922632875,3.321448230658219,0.13285792922632875,0.0,2.186788571492767,0.13285792922632875,0.13285792922632875,True,True
market,Market,1,67,19,1,-0.010988159842027105,0.014289685156207335,6.8556393772059225,0.2742255750882369,6.8556393772059225,0.2742255750882369,0.0,0.7101415533119124,0.2742255750882369,0.2742255750882369,True,True
market,Market,1,67,20,2,-0.0013912551178430013,-0.013907464572834866,29.01883097194112,1.160753238877645,29.01883097194112,1.160753238877645,0.0,1.966376582913567,1.160753238877645,1.160753238877645,True,True
market,Market,1,67,21,18,0.004107241026156754,-0.014529289754841303,167.28467113151456,6.691386845260582,167.28467113151456,6.691386845260582,0.0,14.103139261381452,6.691386845260582,6.691386845260582,True,True
market,Market,1,67,22,5,-0.0023199206545521317,-0.006844416700789368,0.25432212659809106,0.010172885063923642,0.25432212659809106,0.010172885063923642,0.0,0.12725561353384537,0.010172885063923642,0.010172885063923642,True,True
market,Market,1,67,23,1,-0.015303817356763075,-0.026614234025475046,0.9467474180447881,0.03786989672179152,0.9467474180447881,0.03786989672179152,0.0,0.3170548104613409,0.03786989672179152,0.03786989672179152,True,True
market,Market,1,67,24,6,-0.005094356017754366,-0.000218971098203351,1.3513298502286781,0.054053194009147126,1.3513298502286781,0.054053194009147126,0.0,1.694201003801867,0.054053194009147126,0.054053194009147126,True,True
market,Market,1,67,25,45,0.006913542079978172,-0.016560547645836116,69.37239640054804,2.7748958560219217,69.37239640054804,2.7748958560219217,0.0,16.478867568526304,2.7748958560219217,2.7748958560219217,True,True
market,Market,1,67,26,9,-0.004906403526783169,-0.00018929054106320834,4.979484386389011,0.19917937545556044,4.979484386389011,0.19917937545556044,0.0,2.615859915734457,0.19917937545556044,0.19917937545556044,True,True
market,Market,1,67,27,2,-0.0029137516772682263,-0.010912553418737947,1.8487738437119328,0.07395095374847731,1.8487738437119328,0.07395095374847731,0.0,0.5761411599781245,0.07395095374847731,0.07395095374847731,True,True
market,Market,1,67,28,1,0.009902808656665782,0.005728005511728914,6.394600476591655,0.2557840190636662,6.394600476591655,0.2557840190636662,0.0,0.7114325722992523,0.2557840190636662,0.2557840190636662,True,True
market,Market,1,67,29,5,0.013723831638091794,0.014029683073912499,5.224450483569056,0.20897801934276225,5.224450483569056,0.20897801934276225,0.0,1.6539237983435353,0.20897801934276225,0.20897801934276225,True,True
policy_practice,Policy: practice subsidy,1,67,0,30,-0.0057344525756448175,0.0002881630209599294,30.868382195843193,1.2347352878337277,61.588382195843224,2.463535287833729,30.720000000000017,5.894514639450871,0.7473307059495775,0.7473307059495775,True,True
policy_practice,Policy: practice subsidy,1,67,1,6,-0.0011224464473409779,-0.005641659092067876,11.920316136385146,0.47681264545540586,15.560316136385145,0.6224126454554058,3.6400000000000006,2.265570398529915,0.14208951062670985,0.14208951062670985,True,True
policy_practice,Policy: practice subsidy,1,67,2,2,0.01435488360321421,0.012627604062684646,3.1938179022342292,0.12775271608936917,4.513817902234228,0.18055271608936913,1.3200000000000005,0.6974641485799754,0.04698317340415688,0.04698317340415688,True,True
policy_practice,Policy: practice subsidy,1,67,3,17,0.0051464124196767425,0.009750692718384036,22.7241900017608,0.908967600070432,33.76419000176081,1.3505676000704323,11.04,5.779663212636892,0.3237076634307571,0.3237076634307571,True,True
policy_practice,Policy: practice subsidy,1,67,4,74,-0.01106496159264248,0.01406257190522598,285.73780967404105,11.429512386961642,319.4578096740412,12.778312386961648,33.72000000000001,35.47795645256698,11.230485770316166,11.230485770316166,True,True
policy_practice,Policy: practice subsidy,1,67,5,18,-0.00632899239598508,-0.0031235957664033157,46.16905446603243,1.846762178641297,56.789054466032454,2.271562178641298,10.620000000000001,7.1005196653417135,1.686692482770141,1.686692482770141,True,True
policy_practice,Policy: practice subsidy,1,67,6,7,0.012292223471256416,-0.019560869142214457,24.44278254939867,0.9777113019759469,27.102782549398675,1.084111301975947,2.66,3.6438724765278554,0.6164814228910092,0.6164814228910092,True,True
policy_practice,Policy: practice subsidy,1,67,7,2,-0.015956107323728617,-0.01583412013354283,2.980834416257718,0.11923337665030871,3.8608344162577177,0.1544333766503087,0.8800000000000001,0.8514354365291458,0.05489564235962058,0.05489564235962058,True,True
policy_practice,Policy: practice subsidy,1,67,8,24,0.017898160084873688,-0.0004471941025596935,63.95789304227084,2.5583157216908337,74.05789304227088,2.962315721690835,10.100000000000005,11.59287753301718,1.4087504755726366,1.4087504755726366,True,True
policy_practice,Policy: practice subsidy,1,67,9,6,0.007633549412831744,-0.007497546146555413,16.23285186854897,0.6493140747419588,19.692851868548964,0.7877140747419585,3.4599999999999995,2.5010431694957087,0.6562730448055666,0.6562730448055666,False,True
policy_practice,Policy: practice subsidy,1,67,10,11,-0.017637391398452832,0.004790439554914738,13.438771485676057,0.5375508594270423,20.938771485676057,0.8375508594270422,7.5,3.46538120882906,0.24124447576556438,0.24124447576556438,True,True
policy_practice,Policy: practice subsidy,1,67,11,24,0.008972138525722545,-0.003536201034652357,50.67725997336185,2.027090398934474,62.757259973361855,2.5102903989344743,12.08,10.352239539895807,0.98416002005929,0.98416002005929,True,True
policy_practice,Policy: practice subsidy,1,67,12,7,0.006814102732683151,-0.012302599241391692,17.71719335213994,0.7086877340855976,20.117193352139942,0.8046877340855977,2.4000000000000012,3.5668848043886907,0.39482013993139764,0.39482013993139764,True,True
policy_practice,Policy: practice subsidy,1,67,13,29,0.0065544295339287,0.012056843995164242,60.968593100606675,2.438743724024267,79.74859310060667,3.1899437240242667,18.780000000000005,10.607008578194728,2.307438282135664,2.307438282135664,True,True
policy_practice,Policy: practice subsidy,1,67,14,12,-0.008423010614878598,-0.007880010476218662,11.263205725261944,0.45052822901047773,24.18320572526195,0.967328229010478,12.92,2.1166333978387515,0.3093553827568751,0.3093553827568751,True,True
policy_practice,Policy: practice subsidy,1,67,15,8,-0.002723788325969262,-0.026851684184958386,15.146154302350526,0.605846172094021,21.886154302350523,0.8754461720940209,6.739999999999998,2.366626150872529,0.4534790348276645,0.4534790348276645,True,True
policy_practice,Policy: practice subsidy,1,67,16,2,0.0022803077171049996,-0.005882012090926229,6.146909176095785,0.2458763670438314,7.2469091760957856,0.2898763670438314,1.1,0.8642589560847547,0.2524600592721048,0.2524600592721048,False,True
policy_practice,Policy: practice subsidy,1,67,17,18,-0.0024934434483933183,-0.004567190752296223,195.9918184796107,7.8396727391844285,196.9318184796107,7.877272739184429,0.94,15.274782121906167,7.850847680352953,7.850847680352953,False,True
policy_practice,Policy: practice subsidy,1,67,18,8,-0.018779663801060845,-0.013854535046222426,12.87901878520704,0.5151607514082815,17.719018785207034,0.7087607514082813,4.84,2.8371049238807133,0.13285792922632875,0.13285792922632875,True,True
policy_practice,Policy: practice subsidy,1,67,19,1,-0.010988159842027105,0.014289685156207335,6.778086095772096,0.2711234438308838,6.958086095772095,0.2783234438308838,0.18,0.6667630905359198,0.2742255750882369,0.2742255750882369,False,True
policy_practice,Policy: practice subsidy,1,67,20,2,-0.0013912551178430013,-0.013907464572834866,29.01883097194112,1.160753238877645,29.01883097194112,1.160753238877645,0.0,1.966376582913567,1.160753238877645,1.160753238877645,True,True
policy_practice,Policy: practice subsidy,1,67,21,18,0.004107241026156754,-0.014529289754841303,166.99837897150613,6.679935158860245,169.99837897150613,6.7999351588602455,3.0,13.768538515075543,6.691386845260582,6.691386845260582,False,True
policy_practice,Policy: practice subsidy,1,67,22,5,-0.0023199206545521317,-0.006844416700789368,0.17254231682225524,0.00690169267289021,7.532542316822253,0.30130169267289014,7.359999999999998,0.057282342482747904,0.010172885063923642,0.010172885063923642,False,True
policy_practice,Policy: practice subsidy,1,67,23,1,-0.015303817356763075,-0.026614234025475046,2.691244270985191,0.10764977083940763,2.9912442709851907,0.11964977083940763,0.3,0.512833664723052,0.03786989672179152,0.03786989672179152,True,True
policy_practice,Policy: practice subsidy,1,67,24,6,-0.005094356017754366,-0.000218971098203351,7.809856145600974,0.31239424582403896,11.529856145600972,0.4611942458240389,3.7200000000000015,2.0659696901132345,0.054053194009147126,0.054053194009147126,True,True
policy_practice,Policy: practice subsidy,1,67,25,45,0.006913542079978172,-0.016560547645836116,111.796086691989,4.47184346767956,138.61608669198898,5.54464346767956,26.820000000000018,18.39797909943175,2.7748958560219217,2.7748958560219217,True,True
policy_practice,Policy: practice subsidy,1,67,26,9,-0.004906403526783169,-0.00018929054106320834,14.443475896488371,0.5777390358595348,20.26347589648837,0.8105390358595348,5.82,3.104494599841924,0.19917937545556044,0.19917937545556044,True,True
policy_practice,Policy: practice subsidy,1,67,27,2,-0.0029137516772682263,-0.010912553418737947,3.689358678595375,0.147574347143815,4.529358678595376,0.18117434714381503,0.8400000000000001,0.9065462636146685,0.07395095374847731,0.07395095374847731,True,True
policy_practice,Policy: practice subsidy,1,67,28,1,0.009902808656665782,0.005728005511728914,6.336450041305603,0.2534580016522241,6.536450041305601,0.26145800165222405,0.2,0.6621507686461974,0.2557840190636662,0.2557840190636662,False,True
policy_practice,Policy: practice subsidy,1,67,29,5,0.013723831638091794,0.014029683073912499,7.998299313710924,0.31993197254843697,11.358299313710924,0.454331972548437,3.360000000000001,1.7214477982956566,0.20897801934276225,0.20897801934276225,True,True
productivist,Productivist,2,68,0,8,0.018675349793187437,0.01293312974755618,-66.3323662329042,-2.653294649316168,-66.3323662329042,-2.653294649316168,0.0,2.1568865192234643,0.24940582311162998,0.24940582311162998,False,False
productivist,Productivist,2,68,1,4,0.007104786023574754,0.0002155805032985561,2.0405319464091836,0.08162127785636734,2.0405319464091836,0.08162127785636734,0.0,2.168032337560533,0.29178514453761933,0.29178514453761933,False,False
productivist,Productivist,2,68,2,2,0.013216025941958287,0.012105530071248665,-1.5624884625653412,-0.06249953850261365,-1.5624884625653412,-0.06249953850261365,0.0,1.0111460107050423,0.08737131937811843,0.08737131937811843,False,False
productivist,Productivist,2,68,3,98,0.00040309345973330317,0.00484134690453352,-425.06451533658657,-17.00258061346346,-425.06451533658657,-17.00258061346346,0.0,37.38953803647233,8.01918174025587,8.01918174025587,False,False
productivist,Productivist,2,68,4,5,-0.014830472989167467,0.01264176279459201,-21.000318432214247,-0.8400127372885698,-21.000318432214247,-0.8400127372885698,0.0,1.8686679182124741,0.14661014913570639,0.14661014913570639,False,False
productivist,Productivist,2,68,5,9,0.005358759243955944,-0.03072444892513599,-34.303221229692646,-1.372128849187706,-34.303221229692646,-1.372128849187706,0.0,3.620879987206317,0.8638218477078435,0.8638218477078435,False,False
productivist,Productivist,2,68,6,14,0.01417988387963257,0.010498488671849406,-33.234099907576365,-1.3293639963030546,-33.234099907576365,-1.3293639963030546,0.0,6.37532350240944,0.3118139579567597,0.3118139579567597,False,False
productivist,Productivist,2,68,7,8,0.006689972532969141,-0.0008293018527873334,-59.59506095566981,-2.3838024382267924,-59.59506095566981,-2.3838024382267924,0.0,2.2957738736295683,0.15603942230990323,0.15603942230990323,False,False
productivist,Productivist,2,68,8,1,-0.007881356830144414,0.020531068758192987,-11.837516415759712,-0.4735006566303885,-11.837516415759712,-0.4735006566303885,0.0,0.13489438923157349,0.01666892160107477,0.01666892160107477,False,False
productivist,Productivist,2,68,9,7,0.005346094439204766,0.008315618643442551,-93.95354903753676,-3.7581419615014706,-93.95354903753676,-3.7581419615014706,0.0,0.6634245596583707,0.07019695808754178,0.07019695808754178,False,False
productivist,Productivist,2,68,10,5,-0.0008727605676525609,0.014540344759578012,-18.725220073720116,-0.7490088029488047,-18.725220073720116,-0.7490088029488047,0.0,1.997301915370346,0.048499947198952745,0.048499947198952745,False,False
productivist,Productivist,2,68,11,7,0.0027357555508878357,0.01948809766379449,-108.84476687892987,-4.353790675157195,-108.84476687892987,-4.353790675157195,0.0,0.17228769095921329,0.001628851404436271,0.001628851404436271,False,False
productivist,Productivist,2,68,12,6,-0.005145776522159047,0.013744774526915292,-41.24425913418924,-1.6497703653675697,-41.24425913418924,-1.6497703653675697,0.0,1.77548398039958,0.27838026309993297,0.27838026309993297,False,False
productivist,Productivist,2,68,13,55,-0.015411883245606217,-0.03417081432393183,-351.65596657767594,-14.066238663107038,-351.65596657767594,-14.066238663107038,0.0,16.668886206707697,3.039415078415678,3.039415078415678,False,False
productivist,Productivist,2,68,14,7,0.0017291590710266545,-0.003695996320583051,-75.34631483372972,-3.013852593349189,-75.34631483372972,-3.013852593349189,0.0,1.2386012161183977,0.19068771084400776,0.19068771084400776,False,False
productivist,Productivist,2,68,15,6,0.001414282949301311,0.010553584327242967,-6.7040406565862085,-0.26816162626344836,-6.7040406565862085,-0.26816162626344836,0.0,2.9122592571458883,0.2561738049432459,0.2561738049432459,False,False
